MONTH,CPI_YOY,CPI_MOM
31-Jan-04,105.1981,100.4149
29-Feb-04,106.2108,100.4375
31-Mar-04,106.2736,100.0997
30-Apr-04,105.5564,99.8196
31-May-04,105.3657,100.0403
30-Jun-04,103.6372,98.4201
31-Jul-04,105.4531,100.8479
31-Aug-04,104.9934,99.4411
30-Sep-04,106.0063,101.4966
31-Oct-04,107.7178,101.602
30-Nov-04,103.9822,101.1748
31-Dec-04,107.4831,103.5333
31-Jan-05,109.2763,102.0901
28-Feb-05,109.1507,100.3221
31-Mar-05,109.6807,100.5858
30-Apr-05,110.3405,100.4201
31-May-05,108.8717,98.7086
30-Jun-05,109.0298,98.563
31-Jul-05,106.0137,98.0581
31-Aug-05,107.2016,100.5554
30-Sep-05,107.6685,101.9386
31-Oct-05,107.7529,101.6816
30-Nov-05,107.9399,101.3504
31-Dec-05,106.179,101.8443
31-Jan-06,105.2472,101.1943
28-Feb-06,105.0995,100.1813
31-Mar-06,104.5799,100.0885
30-Apr-06,106.0123,101.7955
31-May-06,109.9998,102.4214
30-Jun-06,111.4173,99.8331
31-Jul-06,114.5193,100.7882
31-Aug-06,113.4073,99.579
30-Sep-06,111.2397,99.9902
31-Oct-06,110.2287,100.7575
30-Nov-06,109.8392,100.9923
31-Dec-06,108.778,100.8604
31-Jan-07,110.4379,102.7384
28-Feb-07,111.0372,100.725
31-Mar-07,109.7474,98.9258
30-Apr-07,108.1219,100.2878
31-May-07,107.2815,101.6252
30-Jun-07,107.2633,99.8161
31-Jul-07,106.5735,100.1401
31-Aug-07,107.6987,100.6303
30-Sep-07,108.9689,101.1695
31-Oct-07,111.2177,102.8369
30-Nov-07,111.6396,101.3753
31-Dec-07,110.9747,100.2597
31-Jan-08,110.7073,102.4907
29-Feb-08,110.9188,100.9175
31-Mar-08,112.2504,100.1134
30-Apr-08,112.2243,100.2645
31-May-08,111.2353,100.7297
30-Jun-08,111.3366,99.907
31-Jul-08,109.8035,98.7612
31-Aug-08,112.7986,103.3752
30-Sep-08,110.6051,99.2021
31-Oct-08,107.0203,99.5039
30-Nov-08,106.2666,100.6614
31-Dec-08,105.5477,99.5815
31-Jan-09,104.4409,101.4159
28-Feb-09,102.0945,98.6502
31-Mar-09,101.572,99.6011
30-Apr-09,101.785,100.4748
31-May-09,102.2425,101.1824
30-Jun-09,102.347,100.0091
31-Jul-09,100.1413,96.6327
31-Aug-09,96.8939,100.023
30-Sep-09,100.4402,102.833
31-Oct-09,103.2032,102.2411
30-Nov-09,102.6972,100.1678
31-Dec-09,102.9862,99.8618
31-Jan-10,102.6934,101.1276
28-Feb-10,105.6335,101.4746
31-Mar-10,105.8579,99.8126
30-Apr-10,105.6106,100.2401
31-May-10,104.0051,99.6441
30-Jun-10,103.6879,99.7041
31-Jul-10,107.0466,99.7629
31-Aug-10,109.5107,102.3253
30-Sep-10,109.7929,103.098
31-Oct-10,109.5747,102.0379
30-Nov-10,110.541,101.0512
31-Dec-10,111.2399,100.4931
31-Jan-11,112.2586,102.0537
28-Feb-11,113.7455,102.8186
31-Mar-11,113.9342,99.9782
30-Apr-11,113.4991,99.8573
31-May-11,114.3316,100.375
30-Jun-11,110.0338,95.9562
31-Jul-11,108.499,98.3714
31-Aug-11,107.1544,101.0572
30-Sep-11,104.5618,100.6036
31-Oct-11,102.3182,99.8484
30-Nov-11,101.9171,100.6551
31-Dec-11,102.0411,100.6154
31-Jan-12,100.4785,100.4908
29-Feb-12,97.9455,100.2266
31-Mar-12,97.7891,99.8186
30-Apr-12,97.8951,99.9655
31-May-12,96.6997,99.1494
30-Jun-12,99.82,99.0525
31-Jul-12,100.5648,99.1054
31-Aug-12,99.6408,100.1287
30-Sep-12,99.8791,100.8441
31-Oct-12,100.0783,100.0476
30-Nov-12,99.5128,100.0863
31-Dec-12,98.6266,99.7194
31-Jan-13,98.4,100.26
28-Feb-13,97.883,99.6999
31-Mar-13,97.9306,99.8672
30-Apr-13,98.322,100.3651
31-May-13,99.888,100.7285
30-Jun-13,100.2414,99.403
31-Jul-13,99.7877,98.6568
31-Aug-13,99.6472,99.9877
30-Sep-13,98.7059,99.8915
31-Oct-13,100.1728,101.5344
30-Nov-13,100.6071,100.5203
31-Dec-13,102.3723,101.469
31-Jan-14,102.9197,100.7962
28-Feb-14,103.4608,100.2241
31-Mar-14,103.4918,99.8971
30-Apr-14,103.4291,100.3042
31-May-14,102.4048,99.731
30-Jun-14,102.0417,99.0506
31-Jul-14,102.8499,99.4381
31-Aug-14,103.3766,100.4998
30-Sep-14,104.7518,101.2204
31-Oct-14,103.4414,100.2642
30-Nov-14,102.7644,99.8625
31-Dec-14,101.9516,100.6664
31-Jan-15,101.3938,100.2447
28-Feb-15,101.2726,100.1044
31-Mar-15,102.5611,101.1681
30-Apr-15,102.5165,100.2606
31-May-15,103.4594,100.6483
30-Jun-15,104.474,100.0218
31-Jul-15,104.8545,99.8004
31-Aug-15,105.372,100.9958
30-Sep-15,105.2168,101.0713
31-Oct-15,105.7949,100.8151
30-Nov-15,106.2538,100.2956
31-Dec-15,104.8795,99.3643
31-Jan-16,105.5707,100.9054
29-Feb-16,105.5745,100.108
31-Mar-16,104.0615,99.7182
30-Apr-16,103.1587,99.3907
31-May-16,102.0728,99.5888
30-Jun-16,101.1417,99.1095
31-Jul-16,101.5126,100.1664
31-Aug-16,100.9217,100.4078
30-Sep-16,100.1158,100.2643
31-Oct-16,99.8483,100.5458
30-Nov-16,100.1539,100.6025
31-Dec-16,101.832,101.0292
31-Jan-17,103.8758,102.9306
28-Feb-17,105.5369,101.7088
31-Mar-17,105.3522,99.5437
30-Apr-17,106.1147,100.11
31-May-17,106.5558,100.0028
30-Jun-17,107.0942,99.6102
31-Jul-17,105.9537,99.0997
31-Aug-17,105.734,100.1996
30-Sep-17,106.1676,100.6755
31-Oct-17,106.413,100.7781
30-Nov-17,106.9305,101.0917
31-Dec-17,106.7164,100.8269
31-Jan-18,104.3214,100.6205
28-Feb-18,102.7422,100.1692
31-Mar-18,102.8268,99.6257
30-Apr-18,102.4952,99.7872
31-May-18,102.4601,99.9685
30-Jun-18,102.199,99.3565
31-Jul-18,102.8381,99.7194
31-Aug-18,103.1445,100.4981
30-Sep-18,102.7441,100.2847
31-Oct-18,102.2768,100.3198
30-Nov-18,101.8868,100.7062
31-Dec-18,101.5151,100.4591
31-Jan-19,102.1886,101.2881
28-Feb-19,102.2955,100.274
31-Mar-19,103.7044,100.9978
30-Apr-19,104.1382,100.2046
31-May-19,104.7024,100.51
30-Jun-19,104.3468,99.019
31-Jul-19,104.6157,99.9764
31-Aug-19,104.9187,100.7891
30-Sep-19,106.3939,101.6947
31-Oct-19,106.8704,100.7691
30-Nov-19,107.0398,100.8659
31-Dec-19,106.9967,100.4186
31-Jan-20,106.3832,100.7074
29-Feb-20,106.4447,100.332
31-Mar-20,106.0802,100.6519
30-Apr-20,106.8629,100.944
31-May-20,106.5367,100.2032
30-Jun-20,106.1303,98.6413
31-Jul-20,105.6515,99.5253
31-Aug-20,104.7991,99.976
30-Sep-20,103.7696,100.6957
31-Oct-20,103.8061,100.8046
30-Nov-20,103.8274,100.8865
